Duration,Team_Size,Budget,Past_Delays,Tech_Complexity,Risk_Level
45,29,284472,8,3,Medium
37,24,62376,6,2,High
44,21,107924,7,4,High
43,18,59332,2,2,High
22,23,76737,4,2,Medium
44,29,119031,2,4,High
5,26,213024,6,5,Medium
15,24,57472,5,5,High
32,6,89946,2,4,High
29,4,293685,8,4,Medium
54,27,159237,0,3,Medium
27,15,32765,9,3,Medium
35,3,190355,2,3,Medium
34,19,131387,9,3,High
46,15,281116,6,1,Medium
39,6,178878,2,1,Medium
11,9,295116,2,5,Medium
20,19,179328,1,1,Low
30,11,179725,8,1,Medium
52,6,133579,3,3,High
56,21,69339,9,3,High
53,3,57909,5,4,High
6,12,218644,1,3,Low
5,6,187541,8,4,High
52,11,162385,6,4,High
16,15,171002,9,1,Medium
9,16,33285,4,3,High
41,12,65863,6,1,Medium
36,8,177776,3,3,Medium
59,18,161627,9,1,High
13,8,51323,6,1,Medium
45,19,83915,1,1,Low
39,12,171691,6,5,High
23,20,233462,3,1,Low
52,29,289990,3,2,Medium
20,24,158041,0,2,Low
7,20,83019,2,2,Low
24,5,237226,4,4,Medium
28,22,263169,4,1,Low
58,29,37373,1,2,High
37,23,196353,3,4,High
28,27,50187,0,2,Medium
56,17,127927,8,3,High
15,17,268185,0,5,Low
53,6,147996,5,1,High
12,29,69220,6,5,High
40,11,37642,2,5,High
42,29,109971,0,3,Medium
44,28,85556,6,3,High
24,21,257655,2,3,Low
39,26,296926,9,4,High
52,19,252489,5,2,Medium
29,13,215784,5,1,Low
39,27,266836,3,3,Medium
29,11,180534,5,1,Medium
33,12,229591,9,1,Medium
22,20,216278,3,1,Low
50,22,127469,7,3,High
22,15,76950,8,3,Medium
6,10,170749,1,2,Low
58,9,236900,6,3,High
39,19,176161,8,3,High
20,23,212225,8,1,Low
45,25,52936,4,2,High
40,17,260596,0,5,Medium
37,22,125042,5,3,High
8,17,287758,7,3,Medium
37,3,207129,0,5,Medium
18,27,173609,1,1,Low
25,16,52419,0,2,Medium
52,7,236063,4,1,Medium
24,13,151211,1,4,Medium
12,18,235671,9,3,Medium
11,4,30834,9,4,High
7,10,254006,3,3,Low
21,13,284870,0,4,Low
37,20,282358,6,5,High
52,5,32413,7,3,High
16,28,39505,4,3,High
55,3,281753,1,4,Medium
26,13,163177,7,2,Medium
59,18,229176,0,4,Medium
26,20,144897,6,3,Medium
50,18,88408,0,3,Medium
34,25,198751,5,2,Medium
42,12,146908,5,1,Medium
42,20,275993,4,2,Low
49,8,260168,1,1,Low
55,21,109731,1,3,Medium
58,6,147798,8,5,High
12,29,146854,4,5,Medium
31,15,267902,4,4,Medium
31,26,93079,6,2,Medium
38,16,51577,5,2,High
25,5,293358,1,5,Low
34,12,194052,0,1,Low
37,8,97194,4,2,Medium
32,3,142333,3,1,Medium
51,25,67792,2,1,High
37,26,75807,1,1,Medium
9,29,166213,9,1,Medium
52,16,134292,1,4,High
23,10,152984,3,4,Medium
8,21,43777,1,5,High
39,16,68346,3,4,High
53,12,124977,2,2,Medium
21,19,164917,8,4,High
48,11,53290,6,2,High
32,8,205324,2,2,Low
34,13,164365,7,1,Medium
33,27,149496,8,5,High
50,9,227345,6,1,Medium
57,19,108006,5,1,High
10,3,276471,3,4,Medium
39,24,248980,4,4,Medium
45,7,255902,7,2,Medium
41,11,145436,2,4,High
28,20,173250,1,4,Medium
33,26,184099,2,3,Medium
53,29,97359,6,2,High
50,23,233460,7,2,Medium
57,4,193384,0,3,Medium
35,28,290393,6,2,Medium
39,13,160466,8,5,High
37,29,211446,2,5,Medium
56,8,110308,2,3,High
25,28,271235,7,4,Medium
36,10,137800,3,5,High
27,6,268269,7,3,Medium
37,20,54502,4,5,High
7,13,65757,2,1,Low
22,7,128273,3,3,Medium
29,17,88645,3,2,Low
46,20,149815,7,5,High
35,4,189978,5,2,Medium
58,24,211549,6,3,High
7,13,197973,8,5,High
44,28,252343,5,2,Medium
50,27,82021,2,4,High
28,15,59092,2,4,Medium
54,6,162903,2,1,Medium
36,24,102782,9,3,High
51,9,154277,1,2,Medium
26,13,159999,0,1,Low
27,24,237580,9,3,Medium
6,26,274744,0,4,Low
31,6,130128,3,2,Medium
46,17,53664,2,5,High
6,3,132364,4,4,Medium
30,25,281084,8,5,Medium
21,5,194244,7,5,High
44,16,94340,8,2,Medium
37,8,117236,4,2,Medium
13,20,41017,7,5,High
47,27,291879,3,1,Medium
58,3,60348,4,5,High
52,8,239720,2,5,High
43,8,151070,4,2,Medium
33,23,257629,2,3,Medium
46,18,292512,4,4,High
59,7,65010,4,2,Medium
30,19,65851,5,1,High
39,12,152761,8,4,High
54,23,284640,0,2,Low
29,20,192008,9,2,Medium
28,9,108858,5,3,Medium
17,5,97005,0,1,Low
11,15,67493,5,1,Medium
40,17,230867,1,2,Low
49,22,197462,7,3,High
24,21,40292,2,2,Medium
5,5,189437,9,5,High
12,6,131735,5,5,High
50,7,52912,5,3,High
20,3,110771,3,2,Low
18,6,217644,4,3,Low
16,14,137293,1,2,Low
55,29,129083,9,2,High
27,26,143655,9,5,High
19,12,127459,7,4,High
32,25,253077,9,1,Medium
38,27,262682,6,1,Medium
6,23,259171,9,3,Medium
36,28,197558,5,1,Medium
27,22,137338,6,5,High
26,26,295785,0,4,Low
55,27,117132,4,2,Medium
29,15,174378,6,2,Medium
26,25,207254,0,5,Low
26,16,104123,1,1,Low
53,25,257967,8,2,Medium
56,7,51498,2,1,Medium
46,6,100198,5,5,High
10,16,57197,6,2,High
19,12,181791,8,3,Medium
58,19,138775,4,4,High
47,12,191100,3,1,Medium
41,28,141030,1,1,Low
37,9,147399,2,1,Medium
12,18,86747,4,1,Low
57,3,75712,1,5,High
48,19,155342,3,5,High
48,23,121228,0,5,High
9,11,122091,3,5,Medium
43,8,211902,6,2,Medium
8,21,276222,2,5,Medium
10,15,244560,9,2,Low
49,5,41539,7,3,High
36,9,207833,5,5,High
56,24,88008,5,3,High
34,11,171932,0,5,Medium
51,24,97300,4,3,High
39,7,221285,2,4,Medium
59,12,128971,9,3,High
44,25,68744,0,2,Medium
56,19,115990,7,1,High
20,14,264975,6,3,Medium
17,25,33650,6,1,High
54,18,75117,9,4,High
46,5,295334,9,4,High
34,27,78113,9,2,High
23,24,169861,3,2,Low
21,11,62125,5,3,Medium
23,17,259767,8,5,Medium
32,7,196490,2,4,High
59,25,208157,8,1,Medium
30,15,48768,3,5,Medium
41,16,211033,4,4,Medium
30,22,283807,6,3,Medium
57,17,188957,5,4,High
27,18,117421,9,2,Medium
13,25,222154,7,1,Low
16,15,299039,7,1,Low
57,19,211383,7,2,Medium
5,25,250566,2,5,Medium
5,10,228139,9,2,Low
51,23,101017,5,1,High
38,4,51360,6,3,High
36,7,120365,8,5,High
58,8,115468,9,4,High
52,14,287137,9,3,High
29,20,85823,3,5,Medium
44,24,276991,4,1,Low
49,24,242498,7,1,Medium
57,3,48807,0,3,Medium
5,19,169143,5,5,High
20,13,83413,3,4,Medium
43,12,187221,4,4,High
9,21,45540,4,2,Medium
26,16,262284,1,3,Low
33,28,100248,7,5,High
59,12,282515,1,3,Medium
7,17,252809,3,4,Medium
16,21,140494,4,5,Medium
30,6,279643,0,1,Low
20,4,115435,5,1,Medium
55,11,49787,1,5,High
41,12,280768,4,3,Medium
26,13,52606,5,3,Medium
33,16,288632,7,1,Medium
18,9,278495,8,1,Low
32,25,263867,5,4,High
9,17,142223,4,5,Medium
51,24,76936,3,3,High
53,21,123286,1,4,High
34,24,67381,1,3,High
50,17,74194,6,1,High
56,26,210449,4,5,High
9,10,181733,6,2,Medium
16,13,211565,0,5,Low
20,11,148724,0,2,Low
30,17,267777,4,4,Medium
30,3,197567,1,2,Low
52,3,43703,7,2,High
25,21,88453,2,4,Medium
43,5,118478,0,5,Medium
40,12,217063,1,4,Medium
37,10,268411,9,1,Medium
34,17,77098,9,1,High
41,12,81990,6,2,Medium
27,3,197610,5,4,High
14,20,130572,7,4,High
58,4,266981,6,4,High
9,21,299357,9,5,Medium
40,15,154693,7,3,High
38,24,205295,2,3,Medium
56,3,291498,5,3,High
35,4,98274,6,5,High
14,18,296278,9,4,Medium
23,17,69601,0,3,Medium
36,15,294053,0,4,Medium
5,18,42062,6,2,High
9,19,254309,2,3,Low
49,23,195803,2,2,Medium
8,9,166225,4,5,Medium
20,26,171553,5,1,Medium
28,28,129270,1,5,Medium
20,19,224672,2,5,Medium
59,9,114981,5,5,High
6,15,134470,2,3,Medium
53,7,189277,4,2,Medium
32,28,118887,8,3,High
36,19,172012,2,1,Medium
31,5,237866,5,5,High
24,9,119299,4,4,Medium
28,28,270491,4,1,Low
16,19,91597,5,2,Medium
54,9,287808,5,1,Medium
39,23,273554,0,3,Low
37,3,263983,8,4,High
37,19,296129,4,3,Medium
55,19,204124,0,5,Medium
47,13,180635,7,5,High
41,27,208394,6,1,Medium
16,29,222317,6,5,Medium
7,5,218297,4,5,Medium
5,17,282773,0,2,Low
37,23,243678,8,2,Medium
44,13,210580,8,3,Medium
14,28,291776,7,3,Medium
47,18,202903,4,2,Medium
48,27,209412,2,1,Medium
33,24,132951,7,2,Medium
17,11,237028,0,3,Low
16,26,102178,2,4,Medium
35,26,246383,6,5,High
50,3,189826,3,4,High
6,27,99893,6,4,High
55,24,286682,4,5,High
54,18,268886,5,2,Medium
39,11,171707,6,1,Medium
27,21,39964,9,4,High
21,14,256118,6,1,Low
30,21,243869,6,3,Medium
12,24,245862,6,4,Medium
33,11,238000,6,3,Medium
30,9,42336,2,2,Low
14,16,112212,2,4,Medium
30,21,75591,6,3,High
38,21,128537,1,3,Medium
55,4,44429,1,2,Medium
45,11,114294,2,1,Medium
11,15,214087,3,1,Low
8,17,241979,5,4,Medium
57,5,67310,7,2,High
54,13,131827,9,4,High
49,23,229899,9,1,Medium
15,16,237500,6,2,Low
33,27,129862,3,5,High
40,10,80255,1,2,Low
29,20,252603,1,2,Low
25,21,297553,3,5,Medium
40,18,72438,5,3,High
14,4,271482,2,3,Low
41,10,271310,5,3,Medium
13,24,291084,4,1,Low
28,8,217934,4,2,Low
39,14,237374,1,5,Medium
53,17,257402,7,1,Medium
39,27,187217,4,5,High
52,10,56442,1,1,Medium
40,6,111948,6,1,Medium
22,17,284657,8,1,Low
53,22,105791,8,5,High
43,27,72406,0,4,High
36,19,70524,6,1,High
28,15,184404,8,3,Medium
27,20,140160,5,2,Medium
36,4,176836,0,4,Medium
41,15,188635,1,4,Medium
16,15,197442,3,5,Medium
53,24,297206,3,4,High
59,17,74645,1,5,High
17,22,299388,7,5,Medium
27,29,266481,1,3,Low
29,12,287320,2,1,Low
39,5,115501,3,4,High
45,21,147450,8,1,Medium
34,5,225543,9,1,Medium
21,24,271605,0,1,Low
53,16,230658,7,5,High
24,10,46709,4,1,Low
52,29,242330,6,4,High
29,25,199746,7,5,High
26,6,130025,4,4,Medium
17,29,181152,7,5,High
23,22,214484,9,2,Low
53,13,220043,7,2,Medium
40,28,95480,8,2,Medium
16,13,272840,1,2,Low
45,29,264622,2,5,Medium
23,13,147265,0,1,Low
16,4,243083,3,3,Low
13,19,148922,4,3,Medium
11,11,151280,0,2,Low
32,4,234736,7,1,Medium
18,26,193522,1,4,Medium
35,17,114433,0,1,Low
56,18,103704,1,4,High
23,27,36861,4,3,High
51,6,268366,8,1,Medium
20,10,93888,8,1,Medium
57,11,91293,1,3,Medium
9,28,243596,1,1,Low
39,28,98515,2,4,High
16,7,299209,6,1,Low
29,18,198756,2,4,Medium
56,15,118720,0,2,Medium
25,9,194437,5,1,Medium
40,28,218929,2,4,Medium
57,22,166694,0,3,Medium
27,19,271540,3,2,Low
20,5,121141,0,1,Low
43,7,276476,0,4,Medium
49,21,52995,1,1,High
57,14,110141,9,4,High
46,29,169491,7,1,High
43,9,194909,1,2,Low
18,11,100799,1,2,Low
35,8,209949,9,1,Medium
9,28,260739,9,1,Low
39,19,67276,7,5,High
27,18,64523,5,1,High
33,25,227127,3,1,Low
47,5,40514,2,2,Medium
15,23,77456,0,1,Medium
22,28,37233,2,3,High
51,6,293246,8,1,Medium
16,12,96133,4,5,Medium
13,7,134085,5,4,High
14,23,139101,4,2,Low
48,24,138684,0,3,Medium
21,12,124937,9,4,High
42,14,71548,0,3,Medium
11,12,239272,3,2,Low
50,15,143815,2,5,High
17,13,250994,7,2,Low
44,24,157602,6,3,High
46,18,156270,6,3,High
13,10,51182,7,2,Medium
54,10,223691,9,1,Medium
31,29,262362,6,2,Medium
6,27,227008,9,5,Medium
9,10,171488,1,2,Low
33,15,164484,3,4,High
41,29,54406,5,1,High
42,4,294019,2,4,Medium
23,14,239097,2,2,Low
12,12,188058,5,1,Medium
52,14,230919,0,4,Medium
49,13,40794,0,4,High
5,17,229542,4,1,Low
26,18,177478,0,1,Low
56,19,276969,9,3,High
21,28,71708,7,1,High
11,4,204469,1,2,Low
29,20,153313,5,5,High
49,14,266668,9,3,High
8,21,48482,9,1,High
40,28,193543,4,5,High
10,25,84213,9,3,Medium
35,20,268697,3,2,Low
23,19,35435,0,5,High
48,8,169565,2,1,Medium
58,27,233299,3,1,Medium
43,17,61498,1,2,Medium
31,5,65825,1,3,Medium
14,8,35574,1,5,Medium
30,5,160698,0,2,Low
23,3,199251,9,3,Medium
43,15,72782,1,4,Medium
7,23,90561,5,4,High
49,28,56751,2,3,High
17,16,86572,9,1,Medium
54,15,66069,4,1,Medium
32,29,243262,0,4,Medium
24,6,256090,7,1,Low
32,9,288245,3,1,Low
12,24,211303,8,3,Medium
45,12,109468,3,3,Medium
43,9,190371,1,1,Low
5,23,120715,2,3,Medium
7,17,100793,4,5,Medium
17,17,218206,9,4,Medium
32,6,141672,5,5,High
53,25,172321,6,5,High
29,25,150902,3,1,Low
37,8,51390,6,1,Medium
42,26,50369,9,5,High
57,22,173953,2,5,High
10,28,254872,6,2,Low
48,7,268634,3,2,Medium
49,22,77013,7,4,High
36,14,147341,8,5,High
49,3,224692,6,3,High
51,10,176826,7,2,High
25,3,137584,7,1,Medium
20,7,108113,1,5,Medium
58,24,65282,8,3,High
25,8,197809,5,3,Medium
15,23,126651,3,3,Medium
41,5,276549,4,1,Low
40,17,115395,9,2,Medium
39,7,41345,4,3,Medium
23,26,227472,6,2,Low
24,16,42055,8,4,High
22,20,115283,6,1,Medium
51,18,74484,8,2,High
45,8,107514,3,2,Medium
53,27,120135,9,3,High
18,26,218726,9,3,Medium
19,16,244223,3,1,Low
35,29,147399,5,2,Medium
5,26,210645,7,5,Medium
57,10,203805,8,3,High
58,9,159344,0,3,Medium
58,10,172832,0,4,High
7,15,143226,7,1,Medium
20,8,129250,6,2,Medium
27,20,212058,8,2,Low
15,4,195404,2,2,Low
16,10,201172,9,3,Medium
14,13,166016,4,1,Low
36,3,78825,2,2,Medium
20,24,43877,4,5,High
12,8,159065,9,4,High
42,18,138443,0,4,Medium
16,29,147674,3,2,Low
28,22,145074,5,3,Medium
32,14,281881,1,4,Medium
57,13,61629,6,4,High
12,29,184030,7,4,High
32,12,195279,0,4,Medium
40,5,292199,3,2,Low
30,15,279084,3,1,Low
12,29,118697,4,1,Low
54,5,193945,3,3,High
32,17,131505,8,5,High
32,18,227277,6,1,Medium
41,15,186390,1,5,Medium
45,19,63734,0,1,Medium
40,5,243299,8,1,Medium
31,22,179594,0,3,Medium
58,13,172728,5,4,High
21,29,176965,1,3,Low
13,23,125872,3,1,Low
37,21,199524,5,4,High
57,24,174338,4,4,High
24,13,146603,5,4,High
17,18,46940,2,5,High
32,23,185075,4,1,Medium
52,5,157880,1,2,Medium
33,24,128408,6,3,High
17,8,191941,2,5,Medium
50,16,79297,0,3,High
39,26,90107,7,2,Medium
10,20,49622,7,4,High
22,19,169909,2,2,Low
55,6,176479,6,3,High
9,25,190381,8,2,Medium
51,17,123190,7,1,High
29,13,282356,2,2,Low
6,28,247984,1,1,Low
14,5,30370,9,2,Medium
34,5,292630,6,1,Medium
54,18,56613,6,1,High
49,7,273876,8,2,Medium
9,23,33196,4,5,High
59,12,256009,3,4,High
37,21,38572,7,4,High
58,27,75853,3,4,High
5,6,193347,3,1,Low
22,21,146074,1,4,Medium
36,13,73209,0,1,Low
51,4,124244,3,5,High
53,12,262067,6,2,Medium
15,13,283516,8,2,Low
25,27,238472,8,1,Low
30,22,130300,9,1,Medium
29,18,228033,0,5,Low
26,21,87175,4,4,Medium
31,25,131551,6,5,High
53,26,276984,6,2,Medium
17,13,86866,9,2,Medium
37,16,147752,5,4,High
38,4,283564,9,2,Medium
45,25,276592,3,1,Low
39,7,45401,2,2,Medium
5,29,245432,8,3,Medium
25,7,195486,9,4,High
52,21,177214,3,4,High
59,23,276200,7,4,High
10,14,240536,0,3,Low
32,20,236329,6,5,High
21,6,106693,5,1,Medium
9,24,65135,0,4,High
35,19,166262,3,2,Medium
9,12,100199,4,1,Low
42,22,34331,7,2,High
7,8,213258,3,1,Low
57,27,242854,2,1,Medium
27,16,55761,1,2,Medium
41,13,295406,3,2,Low
57,13,285792,9,1,Medium
41,20,214544,3,4,Medium
14,29,114667,9,2,Medium
14,25,34677,4,3,High
23,24,234580,6,3,Medium
21,20,160334,8,1,Medium
25,26,90148,1,5,Medium
18,25,105271,4,1,Low
13,13,64457,9,1,Medium
50,23,72531,8,4,High
5,14,234335,2,4,Medium
55,7,158027,0,5,High
49,25,224243,1,5,Medium
17,11,287231,5,5,Medium
8,29,279301,4,5,Medium
5,27,75771,0,5,High
53,11,123135,0,1,Medium
44,24,96354,3,1,Medium
36,12,142743,3,3,Medium
38,24,274453,5,3,Medium
32,21,63892,5,2,High
35,3,232268,9,1,Medium
12,9,125057,5,5,High
43,6,68409,0,2,Low
30,3,276889,9,4,Medium
38,17,179457,8,1,Medium
58,10,56382,6,3,High
58,14,106675,6,1,High
7,24,52419,6,1,High
54,24,111238,1,1,Medium
16,20,255825,1,1,Low
5,17,200363,5,4,Medium
58,19,65169,6,3,High
48,16,92182,2,1,Medium
9,16,189413,3,4,Medium
34,20,207216,2,2,Low
34,22,109360,6,1,Medium
21,20,43444,6,4,High
52,18,153662,3,5,High
51,3,275488,6,2,Medium
27,25,128843,4,3,Medium
19,29,142150,0,1,Low
41,13,286620,9,1,Medium
25,17,124826,3,4,Medium
18,14,255121,6,3,Medium
6,10,271435,1,5,Low
15,24,154713,1,2,Low
55,22,85612,0,3,Medium
43,8,130474,1,1,Low
42,5,69710,9,4,High
38,26,143096,7,5,High
42,28,239417,7,4,High
54,15,241463,7,2,Medium
38,15,124924,0,3,Medium
22,4,298602,0,4,Low
34,7,167925,9,4,High
19,19,48320,3,1,Medium
31,8,124154,5,4,High
55,4,82243,7,5,High
38,6,206687,1,3,Low
56,24,102833,2,2,Medium
42,28,123476,5,4,High
37,13,144560,9,5,High
28,10,67941,3,2,Low
19,14,55368,1,5,Medium
34,10,233990,6,4,High
59,13,287481,3,4,High
46,24,30801,7,3,High
55,22,136538,7,1,High
21,10,115269,6,5,High
9,10,283765,9,1,Low
33,28,121679,8,1,Medium
8,19,186777,3,2,Low
14,22,221375,6,2,Low
21,22,191792,9,5,High
14,25,63351,9,1,High
21,18,141023,0,3,Low
24,16,197217,3,1,Low
28,13,117948,1,2,Low
9,9,250686,8,1,Low
38,18,249188,4,4,Medium
10,15,291677,2,4,Medium
57,29,207476,3,3,Medium
6,17,180641,5,5,High
17,26,155074,9,1,Medium
47,18,290078,0,4,Medium
47,29,84437,6,5,High
52,23,186810,7,4,High
15,25,120410,6,5,High
55,26,49731,6,5,High
51,11,171203,8,4,High
27,5,215169,3,2,Low
59,21,295033,6,5,High
20,22,39569,8,1,High
35,7,236749,4,4,Medium
15,12,115192,1,2,Low
58,19,284829,4,4,High
